Year,Teams,0-19 FGA,0-19 FGM,20-29 FGA,20-29 FGM,30-39 FGA,30-39 FGM,40-49 FGA,40-49 FGM,50+ FGA,50+ FGM,Total FGA,Total FGM,Total FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg
2005,32,13,13,272,259,299,255,291,208,92,48,967,783,81.00%,1114,1099,98.70%,2240,138465,209,9.30%,61.8
2006,32,15,15,269,257,279,239,294,216,85,40,942,767,81.40%,1135,1124,99.00%,2392,151489,311,13.00%,63.3
2007,32,17,17,284,270,279,253,283,210,95,45,960,795,82.80%,1177,1165,99.00%,2490,154231,307,12.30%,61.9
2008,32,7,7,266,261,321,286,302,225,104,66,1000,845,84.50%,1176,1170,99.50%,2534,161029,368,14.50%,63.5
2009,32,11,11,273,264,287,240,255,186,104,55,930,756,81.30%,1185,1165,98.30%,2482,159129,400,16.10%,64.1
2010,32,19,19,270,257,283,251,284,208,108,59,964,794,82.40%,1214,1203,99.10%,2538,161153,416,16.40%,63.5
2011,32,16,16,296,285,259,225,300,222,140,90,1011,838,82.90%,1207,1200,99.40%,2565,163058,1117,43.50%,63.6
2012,32,16,16,223,215,303,270,323,259,151,92,1016,852,83.90%,1235,1229,99.50%,2620,165870,1156,44.10%,63.3
2013,32,12,12,242,236,295,265,306,254,143,96,998,863,86.50%,1267,1262,99.60%,2684,169138,1309,48.80%,63
2014,32,10,10,247,241,302,272,274,212,154,94,987,829,84.00%,1230,1222,99.30%,2607,165670,1311,50.30%,63.5
2015,32,10,10,236,230,272,256,309,234,160,104,987,834,84.50%,1217,1146,94.20%,2627,166348,1470,56.00%,63.3
2016,32,9,9,250,242,304,279,296,235,150,85,1009,850,84.20%,1195,1119,93.60%,2632,164751,1516,57.60%,62.6
2017,32,9,9,243,238,301,258,320,254,154,107,1027,866,84.30%,1134,1066,94.00%,2473,154144,1413,57.10%,62.3
2018,32,3,3,208,205,289,272,295,225,152,97,947,802,84.70%,1235,1164,94.30%,2634,164869,1601,60.80%,62.6
2019,32,6,6,242,238,265,242,325,232,145,84,983,802,81.60%,1210,1136,93.90%,2603,162335,1585,60.90%,62.4
2020,32,7,7,209,201,268,249,304,245,168,106,960,812,84.60%,1338,1244,93.00%,2757,171876,1687,61.20%,62.3
2021,32,1,1,238,236,302,281,304,236,182,120,1027,874,85.10%,1257,1174,93.40%,2777,173916,1598,57.50%,62.6
2022,32,4,4,239,233,288,265,307,247,224,154,1062,903,85.00%,1187,1123,94.60%,2698,168904,1612,59.70%,62.6
2023,32,1,1,243,239,311,294,275,219,230,158,1060,911,85.90%,1169,1121,95.90%,2698,171091,1970,73.00%,63.4
2024,32,2,2,177,172,221,208,225,167,207,147,832,696,83.70%,875,842,96.20%,2027,127793,1326,65.40%,63
